IMPORTANT DETAIL,,,,,,,,,
"In order to insert an Idea that uses a PivotTable or formula, your data was organized in columns with a single header row.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Field1,Prototype,Task A,Task B,Task B2,ID,Field7,Field8,Field9
,4/15/21 14:34,Prototype B (Circles),9.39,240,30,"Boring, Fine",4,5,4
,4/15/21 14:34,Prototype B (Circles),5.67,69.68,8.01,"Frustrating, Confusing, Tiring",1,1,5
,4/15/21 14:34,Prototype A (Boxes),17,149,7,"Fine, Confusing",4,3,2
,4/15/21 14:34,Prototype A (Boxes),8,128,9,Great,6,6,4
,4/15/21 14:34,Prototype B (Circles),9.3,16.5,6.8,Confusing,2,1,2
,4/15/21 14:34,Prototype A (Boxes),5,67,15,"Great, Confusing",6,7,6
,4/15/21 14:34,Prototype A (Boxes),9.75,238.35,9.71,"Fun, Fine, Confusing",6,5,4
,4/15/21 14:35,Prototype B (Circles),5,135,13,"Fun, Confusing",3,3,4
,4/15/21 14:35,Prototype B (Circles),20,13,11,Frustrating,1,1,2
,4/15/21 14:36,Prototype A (Boxes),3,4,162,"Fine, Great",4,4,3
,4/15/21 14:37,Prototype A (Boxes),9,226,7,"Fine, Confusing",3,3,6
,4/15/21 14:37,Prototype B (Circles),7,191,10,"Fine, Messy",3,4,4
,4/15/21 14:37,Prototype A (Boxes),10,180,15,"Boring, Frustrating, Fine",3,3,3
,4/15/21 14:37,Prototype A (Boxes),81,10,10,"Boring, Fine, Confusing",4,5,2
,4/15/21 14:37,Prototype A (Boxes),5.43,7.6,132,"Frustrating, Fine",5,6,3
,4/15/21 14:38,Prototype B (Circles),7.41,126.88,6.6,"Fun, Fine, Confusing",4,5,6
,4/15/21 14:38,Prototype B (Circles),6.45,6.86,154.26,"Fine, Confusing",5,5,4
,4/15/21 14:39,Prototype B (Circles),5,125,5,"Fine, Confusing",1,2,6
,4/15/21 14:39,Prototype B (Circles),5,230,6,"Frustrating, Confusing",2,4,4
,4/15/21 14:39,Prototype A (Boxes),11.2,32,11.29,Fine,7,5,4
,4/15/21 14:39,Prototype B (Circles),8,195,8,"Boring, Confusing",3,5,4
,4/15/21 14:40,Prototype B (Circles),12.03,12.83,69.25,"Frustrating, Confusing, Tiring",3,3,5
,4/15/21 14:40,Prototype B (Circles),10,130,9,Fine,3,3,3
,4/15/21 14:40,Prototype A (Boxes),12,13,13,"Boring, Fine, Confusing",2,2,3
,4/15/21 14:41,Prototype A (Boxes),4,123,5,"Fun, Exciting, Great",7,7,6
,4/15/21 14:42,Prototype A (Boxes),8.49,125.12,7.2,"Fine, Confusing",5,5,4
,4/15/21 15:13,Prototype B (Circles),9.36,15,40,Boring,1,1,1
,4/15/21 15:40,Prototype B (Circles),12.37,600,9.55,"Frustrating, Confusing, Painful (hurt my eyes a lot)",2,2,2
,4/15/21 15:43,Prototype A (Boxes),10.69,240.82,11.93,Fine,5,5,3
,4/15/21 16:04,Prototype A (Boxes),9,196,6,"Boring, Frustrating, Confusing",6,3,5
,4/15/21 16:05,Prototype A (Boxes),5.59,60,28.86,"Boring, Frustrating",3,2,3
,4/15/21 16:06,Prototype B (Circles),12,130,10,"Frustrating, Tiring",1,4,1
,4/15/21 16:08,Prototype B (Circles),6.96,65,30.88,"Boring, Frustrating, Confusing, Tiring",1,1,2
,4/15/21 16:08,Prototype B (Circles),25,30,20,"Great, Fine",5,,
,4/15/21 16:10,Prototype A (Boxes),20,80,30,Fine,5,5,4
,4/15/21 16:15,Prototype A (Boxes),6,220,16,"Boring, Fine, Confusing",4,5,3
,4/15/21 16:16,Prototype A (Boxes),5,220,25,"Boring, Frustrating, Confusing",4,4,3
,4/15/21 16:17,Prototype B (Circles),13,12,8,"Frustrating, Confusing, Tiring, hard to read",1,1,2
,4/15/21 16:18,Prototype B (Circles),6,20,10,"Boring, Confusing",1,1,5
,4/15/21 16:18,Prototype B (Circles),10,210,20,"Frustrating, Confusing",3,5,2
,4/15/21 16:19,Prototype A (Boxes),8,130,9,Fine,6,6,4
,4/15/21 16:19,Prototype B (Circles),6,72,12,"Frustrating, Fine, Confusing",3,5,3
,4/15/21 16:20,Prototype B (Circles),18,142,15,"Fun, Confusing",5,6,6
,4/15/21 16:21,Prototype A (Boxes),7,130,8,Fine,5,5,3
,4/15/21 16:21,Prototype A (Boxes),9,13,7,"Boring, Fine",5,5,3
,4/15/21 16:22,Prototype B (Circles),9,202,50,"Frustrating, Confusing",4,4,5
,4/15/21 16:23,Prototype A (Boxes),13,600,40,"Frustrating, Fine, Confusing",3,4,2
,4/15/21 16:23,Prototype A (Boxes),6,12,8,"Great, Excellent",6,6,5
,4/15/21 16:24,Prototype A (Boxes),11.74,28.29,6.89,"Boring, Confusing",5,4,1
,4/15/21 16:25,Prototype A (Boxes),5,128,10,"Boring, Fine",5,6,4
,4/15/21 16:25,Prototype A (Boxes),8,216,10,"Boring, Fine, Confusing",5,5,5
,4/15/21 16:25,Prototype B (Circles),8,600,32,"Frustrating, Fine, Confusing",2,1,5
,4/15/21 16:27,Prototype B (Circles),6,131,7,Fine,5,2,4
,4/15/21 16:28,Prototype B (Circles),3.35,270,5.51,Fine,5,4,1
,4/15/21 16:31,Prototype B (Circles),15.38,137.53,71.53,"Fine, Confusing",3,4,4
,4/15/21 16:34,Prototype A (Boxes),5,135,19,Frustrating,6,6,3
,4/15/21 16:34,Prototype A (Boxes),9.76,141.28,10.73,Fine,5,5,4
,4/15/21 16:35,Prototype B (Circles),5,126,6,"Frustrating, Confusing",1,2,2
,4/15/21 17:40,Prototype B (Circles),9,190,10,Boring,5,5,1
,4/15/21 17:41,Prototype A (Boxes),10,195,8,Boring,5,5,1
,4/15/21 17:45,Prototype B (Circles),10.31,201.96,11.41,"Fun, Fine, Confusing",6,6,5
,4/15/21 17:47,Prototype A (Boxes),7.9,127.88,11.33,"Great, Excellent",7,7,4
,4/15/21 17:49,Prototype B (Circles),10,190,7,Fine,4,4,5
,4/15/21 17:49,Prototype A (Boxes),8,60,16,"Frustrating, Fine, Confusing",5,5,4
,4/15/21 17:50,Prototype B (Circles),9.76,199,11.39,"Boring, Fine, Confusing",2,3,2
,4/15/21 17:51,Prototype A (Boxes),7,125,6,"Fine, Great",6,6,3
,4/15/21 17:51,Prototype A (Boxes),10,126,10,"Boring, Fine",4,4,2
,4/15/21 17:52,Prototype B (Circles),12,280,13,"Fun, Frustrating, Confusing, Tiring",1,2,5
,4/15/21 17:52,Prototype A (Boxes),15,12,17,"Boring, Confusing",4,2,1
,4/15/21 17:53,Prototype B (Circles),16,14,10,Boring,3,2,1
,4/15/21 17:54,Prototype A (Boxes),7,11,137,"Frustrating, Fine, Confusing",3,3,3
,4/15/21 17:55,Prototype A (Boxes),2,170,2,Confusing,3,4,4
,4/15/21 17:55,Prototype A (Boxes),9.6,177.82,28.99,"Boring, Frustrating, Confusing",3,2,1
,4/15/21 17:56,Prototype B (Circles),7,20,6,"Frustrating, Confusing",1,3,1
,4/15/21 17:56,Prototype A (Boxes),24,134,12,Fine,6,5,5
,4/15/21 17:56,Prototype B (Circles),3,66,4,Confusing,1,1,4
,4/15/21 17:57,Prototype B (Circles),6.45,197.38,20.38,"Frustrating, Confusing",1,1,1
,4/15/21 17:59,Prototype B (Circles),11,129,13,"Frustrating, Confusing",1,2,3
,4/15/21 19:33,Prototype B (Circles),10,149,25,"Frustrating, Confusing, Hard on Eyes",1,1,1
,4/15/21 19:34,Prototype A (Boxes),5,121,4,"Fun, Exciting, Fine, Great, Excellent",7,7,7
,4/15/21 20:12,Prototype A (Boxes),18.35,219.22,39.22,Fine,4,6,1
,4/15/21 20:15,Prototype B (Circles),7.08,134.36,7.96,"Fine, Confusing",4,4,3
,4/15/21 20:25,Prototype A (Boxes),9,85,12,"Boring, Frustrating, Fine",5,6,3
,4/15/21 20:27,Prototype B (Circles),12,70,4,"Boring, Confusing, Tiring",2,2,1
,4/16/21 0:04,Prototype A (Boxes),11,188,9,Fine,5,6,3
,4/16/21 0:06,Prototype B (Circles),8,133,8,"Frustrating, Confusing",1,1,1
,4/16/21 2:23,Prototype B (Circles),6.47,7.8,3.68,"Boring, Fine, Confusing, Revolutionary",3,3,3
,4/16/21 2:30,Prototype A (Boxes),3.68,1.9,2.18,"Fun, Great, Revolutionary",6,6,5
,4/16/21 3:39,Prototype B (Circles),10,20,20,Fine,4,4,5
,4/16/21 3:40,Prototype A (Boxes),5,5,5,Fine,5,5,5
,4/16/21 10:26,Prototype B (Circles),8,19,14,"Fun, Confusing",3,3,6
,4/16/21 10:28,Prototype B (Circles),7,15,7,Odd,4,5,2
,4/16/21 10:29,Prototype A (Boxes),5,10,10,Fine,5,5,3
,4/16/21 10:29,Prototype A (Boxes),8,8,8,Boring,6,6,5
,4/16/21 10:29,Prototype A (Boxes),7,220,10,Boring,4,5,2
,4/16/21 10:29,Prototype B (Circles),3,10,225,"Frustrating, Confusing",1,1,1
,4/16/21 10:29,Prototype A (Boxes),7,240,12,"Frustrating, Fine",5,5,4
,4/16/21 10:30,Prototype A (Boxes),23,240,13,"Fine, Confusing",3,6,4
,4/16/21 10:30,Prototype A (Boxes),7.76,600,8.16,Fine,6,6,4
,4/16/21 10:30,Prototype A (Boxes),4,127,7,odd,4,5,2
,4/16/21 10:31,Prototype B (Circles),6,8,9,Frustrating,1,1,1
,4/16/21 10:31,Prototype B (Circles),10,128,7,"Fun, Frustrating, Confusing, Tiring",2,2,7
,4/16/21 10:31,Prototype A (Boxes),82,212,205,"Frustrating, Confusing, Tiring",4,4,2
,4/16/21 10:32,Prototype A (Boxes),4,6,127,Fine,6,6,4
,4/16/21 10:32,Prototype B (Circles),25,120,3,"Frustrating, Confusing",1,3,1
,4/16/21 10:32,Prototype B (Circles),5,66,6,Fine,5,4,4
,4/16/21 10:32,Prototype B (Circles),10,126,18,"Fun, Hard to read the labels when the words are curved",3,5,6
,4/16/21 10:33,Prototype B (Circles),18,43,128,"Frustrating, Fine",3,3,4
,4/16/21 10:34,Prototype A (Boxes),10,600,18,"Boring, Frustrating, Confusing",3,6,1
,4/16/21 10:34,Prototype A (Boxes),6.6,600,8.22,"Fine, Great, Confusing",4,4,3
,4/16/21 10:34,Prototype B (Circles),7,70,12,Boring,4,4,4
,4/16/21 10:35,Prototype A (Boxes),7,171,7,Confusing,6,6,4
,4/16/21 10:35,Prototype A (Boxes),30,100,54,Fine,4,4,1
,4/16/21 10:36,Prototype B (Circles),9.41,271.92,11.38,"Frustrating, Confusing, Tiring",1,2,3
,4/16/21 10:37,Prototype B (Circles),4,143,5,"Confusing, Tiring, Cluttered",4,4,2
,4/16/21 10:37,Prototype A (Boxes),11.97,231.53,7.67,"Frustrating, Fine",6,5,3
,4/16/21 10:38,Prototype B (Circles),9,600,13,"Fun, Frustrating",2,2,5
,4/16/21 10:39,Prototype B (Circles),7.7,9.6,8.86,"Fun, Exciting, Great, Inspiring, Confusing, Tiring",2,3,6
,4/16/21 10:39,Prototype B (Circles),9.67,192.34,7.33,"Frustrating, Difficult",2,2,2
,4/16/21 10:40,Prototype A (Boxes),7.66,142.28,8.2,Fine,5,6,4
,4/16/21 10:43,Prototype B (Circles),24,129,116,"Fine, I somehow completed task 3 before task 2 on accident",3,5,3
,4/16/21 10:45,Prototype A (Boxes),7,126,9,Fine,6,5,4
,4/16/21 12:41,Prototype A (Boxes),43,135,23,Boring,4,5,2
,4/16/21 13:20,Prototype A (Boxes),5,66,67,Fine,3,4,2
,4/16/21 13:20,Prototype B (Circles),4.8,67,7,Fine,3,4,2
,4/16/21 13:44,Prototype B (Circles),7,70,8,Fine,5,5,4
,4/16/21 13:46,Prototype A (Boxes),4,65,5,"Fine, Great, Excellent",6,7,4
,4/16/21 13:54,Prototype B (Circles),6.3,210,13,"Boring, Frustrating, Confusing",3,5,2
,4/16/21 13:54,Prototype B (Circles),6,15,10,"Boring, Fine, Tiring",3,5,2
,4/16/21 13:56,Prototype A (Boxes),5,10,8,"Boring, Fine, Great, Excellent",5,4,2
,4/16/21 13:56,Prototype A (Boxes),10,140,19,"Frustrating, Fine, Confusing",5,5,2
,4/16/21 13:56,Prototype A (Boxes),3.5,133,7,"Boring, Fine",6,6,2
,4/16/21 13:58,Prototype B (Circles),11,67,9,"Boring, Frustrating, Fine, Confusing",2,2,2
,4/16/21 14:05,Prototype A (Boxes),5,130,6,"Boring, Fine, Confusing",3,4,1
,4/16/21 14:06,Prototype A (Boxes),6,130,5,"Frustrating, Confusing",5,5,1
,4/16/21 14:07,Prototype A (Boxes),2.94,193.69,8.74,"Frustrating, Fine, Confusing",2,5,3
,4/16/21 14:07,Prototype B (Circles),15,186,8,Confusing,2,1,3
,4/16/21 14:08,Prototype B (Circles),5,126,4,"Fun, Confusing",2,4,6
,4/16/21 14:08,Prototype B (Circles),10,227,12,"Frustrating, Fine, Illegible",3,5,3
,4/16/21 14:08,Prototype A (Boxes),6.6,200,15,"Boring, Frustrating, Confusing",2,2,3
,4/16/21 14:10,Prototype A (Boxes),6,192,15,"Fine, Great, Functional",7,5,4
,4/16/21 14:10,Prototype B (Circles),10,194.91,7,"Frustrating, Confusing, Tiring",1,3,4
,4/16/21 14:11,Prototype B (Circles),8.4,150,3,"Fine, Confusing",3,3,3
,4/16/21 14:12,Prototype A (Boxes),12,33,20,"Fine, Confusing",5,5,4
,4/16/21 14:12,Prototype A (Boxes),12.78,100000,20.85,"Boring, Fine, Revolutionary",5,4,1
,4/16/21 14:12,Prototype A (Boxes),5.5,26.7,10,"Boring, Frustrating, Tiring",1,1,1
,4/16/21 14:13,Prototype B (Circles),8.2,150,7.3,"Frustrating, Inspiring, Tiring, Excellent",4,4,4
,4/16/21 14:13,Prototype A (Boxes),6.15,76,10,"Fine, Standard",5,6,2
,4/16/21 14:14,Prototype A (Boxes),18,130,8,"Frustrating, Fine, Confusing",6,5,4
,4/16/21 14:14,Prototype A (Boxes),9,130,15,Fine,7,7,4
,4/16/21 14:14,Prototype B (Circles),7,68,8,"Fun, Confusing",5,5,6
,4/16/21 14:15,Prototype B (Circles),10,195,7.62,"Boring, Frustrating, Confusing, Tiring",1,1,1
,4/16/21 14:16,Prototype B (Circles),5,126,7,Confusing,3,3,4
,4/16/21 14:19,Prototype B (Circles),4.37,76,5.25,"Fun, Confusing",3,3,6
,4/16/21 14:46,Prototype A (Boxes),9.65,123.48,20.82,"Frustrating, Fine, Confusing",5,5,4
,4/16/21 14:47,Prototype B (Circles),6.32,11.58,8.68,"Fun, Confusing",6,4,6
,4/16/21 15:11,Prototype A (Boxes),7,280,8,"Fun, Exciting, Confusing",4,4,6
,4/16/21 15:12,Prototype B (Circles),10,80,20,"Fun, Exciting, Excellent",3,6,4
,4/16/21 15:17,Prototype A (Boxes),4.92,6.89,199,"Confusing, Poorly Introduced?",7,7,3
,4/16/21 15:20,Prototype B (Circles),6.48,6.62,202,"Boring, Frustrating, Confusing",1,1,4
,4/16/21 15:25,Prototype A (Boxes),9.46,89.07,20.08,"Fine, Confusing",5,6,4
,4/16/21 15:30,Prototype B (Circles),10.09,79.45,33.29,"Fine, Confusing, The 2nd task was confusing to me as there was no feedback to confirm that I got data in the logs. It would have been helpful to have a prompt stating that the log is ready for viewing.",5,5,7
,4/16/21 15:55,Prototype A (Boxes),5.26,193.18,11.92,"Frustrating, Fine, Confusing",4,5,5
,4/16/21 15:57,Prototype B (Circles),5.75,130.15,7.58,"Fun, Confusing",6,6,7
,4/16/21 17:37,Prototype B (Circles),3.25,127.94,3.53,"Boring, Fine",3,3,4
,4/16/21 17:59,Prototype A (Boxes),16,212,12,Fine,4,3,2
,4/16/21 18:00,Prototype B (Circles),8,128,8,"Fine, Confusing",1,1,1
,4/16/21 18:54,Prototype B (Circles),25,145,24,"Frustrating, Confusing",2,2,1
,4/16/21 19:02,Prototype A (Boxes),13,60,10,"Boring, Fine, Confusing",4,4,2
,4/16/21 19:04,Prototype B (Circles),5,600,10,"Fine, Better app layout",4,4,4
,4/16/21 19:42,Prototype A (Boxes),4,60,150,Frustrating,1,1,1
,4/16/21 19:55,Prototype B (Circles),3,130,5,"Confusing, Tiring",4,4,1
,4/17/21 1:56,Prototype A (Boxes),7,6,12,"Fun, Fine",6,5,6
,4/17/21 1:57,Prototype B (Circles),7,7,10,"Great, Inspiring",5,6,6
,4/17/21 10:58,Prototype B (Circles),19,247,8,"Frustrating, Fine, Confusing",2,2,5
,4/17/21 11:01,Prototype A (Boxes),9,127,24,Fine,5,5,5
,4/17/21 12:36,Prototype B (Circles),15,73,8,"Fun, Frustrating, Exciting, Fine, Great, Excellent",5,6,4
,4/17/21 12:37,Prototype A (Boxes),6,64,10,"Fun, Frustrating, Exciting, Fine, Great, Inspiring, Revolutionary, Excellent",7,6,5
,4/17/21 13:23,Prototype A (Boxes),20,147,19,"Boring, Frustrating, Fine, Confusing",4,5,2
,4/17/21 13:26,Prototype B (Circles),9,66,16,"Fine, Confusing",1,5,2
,4/17/21 14:16,Prototype A (Boxes),18,242,12,"Boring, Fine, Confusing",4,5,3
,4/17/21 14:18,Prototype B (Circles),3,139,9,"Boring, Fine, Confusing, Identical to A overall",3,3,4
,4/17/21 14:44,Prototype B (Circles),36,135,13,"Confusing, Difficult to Read",5,5,5
,4/17/21 14:46,Prototype A (Boxes),13,197,16,Fine,6,5,3
,4/17/21 16:47,Prototype B (Circles),8.73,24.55,9.81,"Fine, Confusing",3,5,4
,4/17/21 16:53,Prototype A (Boxes),4.3,186.84,4.81,"Fine, Great",6,6,5
,4/17/21 17:21,Prototype A (Boxes),5,23,11,Fine,5,5,5
,4/17/21 17:22,Prototype B (Circles),7,36,22,Frustrating,3,3,2
,4/17/21 17:42,Prototype A (Boxes),11.2,64,4,"Great, Excellent",6,6,3
,4/17/21 17:44,Prototype B (Circles),9,65,7,"Frustrating, Confusing",4,4,5
,4/17/21 20:23,Prototype A (Boxes),28,210,21,"Fun, Frustrating, Confusing, stressful",3,4,5
,4/17/21 20:33,Prototype B (Circles),8,135,9,"Fine, Tiring",2,2,1
,4/17/21 23:05,Prototype A (Boxes),9,190,38,"Fine, Confusing",5,4,2
,4/17/21 23:07,Prototype B (Circles),5,130,5,"Frustrating, Confusing, Tiring",1,3,1
,4/18/21 4:04,Prototype B (Circles),17,214,14,"Frustrating, Confusing",2,3,4
,4/18/21 4:07,Prototype A (Boxes),12,191,10,"Boring, Fine",7,5,4
,4/18/21 8:57,Prototype A (Boxes),2,83,13,Fine,5,5,3
,4/18/21 8:58,Prototype B (Circles),7,135,9,Fine,3,3,4
,4/18/21 8:59,Prototype A (Boxes),17,39,10,"Boring, Frustrating, Confusing, Tiring",1,1,1
,4/18/21 9:00,Prototype B (Circles),8,4,5,"Boring, Frustrating, Confusing",1,1,
,4/18/21 10:25,Prototype A (Boxes),5.48,194.5,8.53,Fine,4,6,2
,4/18/21 10:28,Prototype B (Circles),4.6,130,4.71,"Fun, Excellent",6,6,6
,4/18/21 10:34,Prototype B (Circles),7.5,133.01,9.35,"Fun, Fine, Inspiring",5,5,6
,4/18/21 10:36,Prototype A (Boxes),3.95,126.8,8.49,"Fun, Fine",5,5,5
,4/18/21 10:36,Prototype A (Boxes),5.7,4.5,90,Fine,5,4,5
